Filename,Time (ps),Total Energy (kJ/mol),dH/dλ vdw-lambda = 0.0000,ΔH λ to 0.0000,ΔH λ to 0.1000,ΔH λ to 0.2000,ΔH λ to 0.3000,ΔH λ to 0.4000,ΔH λ to 0.5000,ΔH λ to 0.6000,ΔH λ to 0.7000,ΔH λ to 0.8000,ΔH λ to 0.9000,ΔH λ to 1.0000
dhdl_modified_28.xvg,0.0000,6.8388775e+35,-4.7515602e+27,0.0000000,-2.8263386e+18,-2.8263386e+18,-2.8263386e+18,-2.8263386e+18,-2.8263386e+18,-2.8263386e+18,-2.8263386e+18,-2.8263386e+18,-2.8263386e+18,-2.8263386e+18
dhdl_modified_29.xvg,0.0000,2.8325647e+35,-2.5811747e+27,0.0000000,-1.8816764e+18,-1.8816764e+18,-1.8816764e+18,-1.8816764e+18,-1.8816764e+18,-1.8816764e+18,-1.8816764e+18,-1.8816764e+18,-1.8816764e+18,-1.8816764e+18
dhdl_modified_30.xvg,0.0000,1.2076144e+35,-1.4305052e+27,0.0000000,-1.2695787e+18,-1.2695787e+18,-1.2695787e+18,-1.2695787e+18,-1.2695787e+18,-1.2695787e+18,-1.2695787e+18,-1.2695787e+18,-1.2695787e+18,-1.2695787e+18
dhdl_modified_31.xvg,0.0000,5.2897133e+34,-8.0779259e+26,0.0000000,-8.6736102e+17,-8.6736102e+17,-8.6736102e+17,-8.6736102e+17,-8.6736102e+17,-8.6736102e+17,-8.6736102e+17,-8.6736102e+17,-8.6736102e+17,-8.6736102e+17
dhdl_modified_32.xvg,0.0000,2.3766755e+34,-4.6424685e+26,0.0000000,-5.9955998e+17,-5.9955998e+17,-5.9955998e+17,-5.9955998e+17,-5.9955998e+17,-5.9955998e+17,-5.9955998e+17,-5.9955998e+17,-5.9955998e+17,-5.9955998e+17
dhdl_modified_33.xvg,0.0000,1.0936549e+34,-2.7125594e+26,0.0000000,-4.1903745e+17,-4.1903745e+17,-4.1903745e+17,-4.1903745e+17,-4.1903745e+17,-4.1903745e+17,-4.1903745e+17,-4.1903745e+17,-4.1903745e+17,-4.1903745e+17
dhdl_modified_34.xvg,0.0000,5.1471099e+33,-1.6098123e+26,0.0000000,-2.9592627e+17,-2.9592627e+17,-2.9592627e+17,-2.9592627e+17,-2.9592627e+17,-2.9592627e+17,-2.9592627e+17,-2.9592627e+17,-2.9592627e+17,-2.9592627e+17
dhdl_modified_35.xvg,0.0000,2.4743894e+33,-9.6951697e+25,0.0000000,-2.1104267e+17,-2.1104267e+17,-2.1104267e+17,-2.1104267e+17,-2.1104267e+17,-2.1104267e+17,-2.1104267e+17,-2.1104267e+17,-2.1104267e+17,-2.1104267e+17
dhdl_modified_36.xvg,0.0000,1.2136328e+33,-5.9206407e+25,0.0000000,-1.5190748e+17,-1.5190748e+17,-1.5190748e+17,-1.5190748e+17,-1.5190748e+17,-1.5190748e+17,-1.5190748e+17,-1.5190748e+17,-1.5190748e+17,-1.5190748e+17
dhdl_modified_37.xvg,0.0000,6.0667952e+32,-3.6634943e+25,0.0000000,-1.1030546e+17,-1.1030546e+17,-1.1030546e+17,-1.1030546e+17,-1.1030546e+17,-1.1030546e+17,-1.1030546e+17,-1.1030546e+17,-1.1030546e+17,-1.1030546e+17
dhdl_modified_38.xvg,0.0000,3.0878232e+32,-2.2952864e+25,0.0000000,-8.0765262e+16,-8.0765262e+16,-8.0765262e+16,-8.0765262e+16,-8.0765262e+16,-8.0765262e+16,-8.0765262e+16,-8.0765262e+16,-8.0765262e+16,-8.0765262e+16
dhdl_modified_39.xvg,0.0000,1.5987221e+32,-1.4551920e+25,0.0000000,-5.9604658e+16,-5.9604658e+16,-5.9604658e+16,-5.9604658e+16,-5.9604658e+16,-5.9604658e+16,-5.9604658e+16,-5.9604658e+16,-5.9604658e+16,-5.9604658e+16
dhdl_modified_40.xvg,0.0000,8.4130212e+31,-9.3301879e+24,0.0000000,-4.4319372e+16,-4.4319372e+16,-4.4319372e+16,-4.4319372e+16,-4.4319372e+16,-4.4319372e+16,-4.4319372e+16,-4.4319372e+16,-4.4319372e+16,-4.4319372e+16
dhdl_modified_41.xvg,0.0000,4.4962577e+31,-6.0466225e+24,0.0000000,-3.3190103e+16,-3.3190103e+16,-3.3190103e+16,-3.3190103e+16,-3.3190103e+16,-3.3190103e+16,-3.3190103e+16,-3.3190103e+16,-3.3190103e+16,-3.3190103e+16
dhdl_modified_42.xvg,0.0000,2.4386647e+31,-3.9588356e+24,0.0000000,-2.5025243e+16,-2.5025243e+16,-2.5025243e+16,-2.5025243e+16,-2.5025243e+16,-2.5025243e+16,-2.5025243e+16,-2.5025243e+16,-2.5025243e+16,-2.5025243e+16
dhdl_modified_43.xvg,0.0000,1.3414148e+31,-2.6172903e+24,0.0000000,-1.8991879e+16,-1.8991879e+16,-1.8991879e+16,-1.8991879e+16,-1.8991879e+16,-1.8991879e+16,-1.8991879e+16,-1.8991879e+16,-1.8991879e+16,-1.8991879e+16
dhdl_modified_44.xvg,0.0000,7.4783752e+30,-1.7465249e+24,0.0000000,-1.4502733e+16,-1.4502733e+16,-1.4502733e+16,-1.4502733e+16,-1.4502733e+16,-1.4502733e+16,-1.4502733e+16,-1.4502733e+16,-1.4502733e+16,-1.4502733e+16
dhdl_modified_45.xvg,0.0000,4.2230783e+30,-1.1758695e+24,0.0000000,-1.1140536e+16,-1.1140536e+16,-1.1140536e+16,-1.1140536e+16,-1.1140536e+16,-1.1140536e+16,-1.1140536e+16,-1.1140536e+16,-1.1140536e+16,-1.1140536e+16
